Alliances,1,2,3,Results
1,1477,624,457,SF
2,2587,1592,4603,SF
3,3997,801,3545,F
4,2468,4063,2789,W
5,3335,1987,3999,QF
6,4282,3834,3103,QF
7,4502,3478,2158,QF
8,57,1429,3481,QF
