Alliances,1,2,3,Results
1,1635,334,375,SF
2,4571,3059,3419,QF
3,1155,2344,1396,QF
4,771,522,514,QF
5,694,3137,4797,W
6,810,884,353,SF
7,3171,1660,4122,F
8,2601,369,3017,QF
