Alliances,1,2,3,Results
1,1986,3931,1801,W
2,16,4063,2789,F
3,2848,1296,4102,QF
4,4852,647,3366,QF
5,1108,3310,932,SF
6,4694,2468,1750,SF
7,4153,4499,4378,QF
8,4570,4552,3794,QF
