Alliances,1,2,3,Results
1,1781,648,2010,SF
2,2338,111,1675,SF
3,1625,2451,3936,F
4,71,2512,2709,W
5,3061,4096,2358,QF
6,3067,4302,4241,QF
7,101,3940,2194,QF
8,3135,1091,2704,QF
