Alliances,1,2,3,Results
1,359,868,1747,W
2,234,1741,3147,F
3,829,1736,461,SF
4,2040,3301,45,QF
5,1024,3947,2197,SF
6,1732,1501,3487,QF
7,1756,1646,292,QF
8,3201,3176,4545,QF
