Alliances,1,2,3,Results
1,2220,2177,3755,QF
2,2538,3883,4181,QF
3,2526,2705,3102,SF
4,4054,2977,2264,SF
5,4009,4228,4703,QF
6,4215,1816,93,QF
7,2052,2062,4011,W
8,3276,3277,4539,F
