Alliances,1,2,3,Results
1,359,192,3239,W
2,1569,1891,3251,F
3,3289,4106,3245,SF
4,1332,2594,3562,QF
5,2484,4153,4086,SF
6,3288,3216,1566,QF
7,3483,3009,2993,QF
8,3374,3405,1410,QF
