Alliances,1,2,3,Results
1,1648,2363,539,QF
2,3490,4451,1539,SF
3,11,245,2187,W
4,435,4073,343,QF
5,836,3824,401,F
6,1102,2059,3196,QF
7,1553,415,1319,QF
8,1772,1610,1287,SF
