Alliances,1,2,3,Results
1,2539,1640,4454,SF
2,341,225,1495,W
3,4575,1218,834,SF
4,3974,316,1391,F
5,4342,708,423,QF
6,486,1367,433,QF
7,484,2229,4637,QF
8,136,204,357,QF
