Alliances,1,2,3,Results
1,1986,1806,2389,W
2,2165,1540,2341,F
3,3350,2848,932,QF
4,2354,1742,3247,QF
5,2461,2352,1448,SF
6,3593,935,3160,SF
7,4523,476,1775,QF
8,2359,3931,2395,QF
