Alliances,1,2,3,Results
1,2959,2474,2586,W
2,2000,27,4568,F
3,468,3688,3458,QF
4,4237,1711,4855,QF
5,2611,1596,3602,SF
6,3572,4325,3620,SF
7,4391,2767,453,QF
8,4482,857,4835,QF
