Alliances,1,2,3,Results
1,27,1189,2620,F
2,3421,280,818,SF
3,3641,3414,240,W
4,3604,2771,66,QF
5,2137,4384,3096,SF
6,123,2673,503,QF
7,4362,470,3547,QF
8,1502,1322,1250,QF
