Alliances,1,2,3,Results
1,1952,1574,3835,F
2,4320,2630,1577,W
3,1573,1942,3339,QF
4,2213,4661,3388,QF
5,4590,1690,1937,SF
6,2231,3211,3065,SF
7,3316,1576,4708,QF
8,1836,2212,4338,QF
