Alliances,1,2,3,Results
1,868,234,1646,W
2,930,1501,3492,QF
3,931,1208,1094,QF
4,4028,48,1038,QF
5,2481,1741,3947,SF
6,447,1288,1756,F
7,3266,1018,3138,SF
8,1706,2202,4256,QF
