Alliances,1,2,3,Results
1,1503,128,620,W
2,2614,2252,3511,SF
3,2603,1629,3260,F
4,4027,1708,4050,SF
5,4049,449,3567,QF
6,291,4601,3492,QF
7,156,3962,3955,QF
8,4031,3504,63,QF
