Alliances,1,2,3,Results
1,103,2590,1881,F
2,3314,272,2191,SF
3,56,293,224,W
4,1302,1807,223,QF
5,25,303,4281,SF
6,2016,1279,1089,QF
7,1143,1370,4750,QF
8,869,102,1672,QF
