Alliances,1,2,3,Results
1,2648,3467,2386,W
2,176,125,63,F
3,1153,172,1831,SF
4,69,133,4564,SF
5,4473,58,1058,QF
6,78,1073,1922,QF
7,3930,4055,157,QF
8,3609,1071,181,QF
