Alliances,1,2,3,Results
1,469,2851,2676,W
2,1701,314,4838,F
3,1189,2673,2591,SF
4,1250,1023,519,QF
5,123,2834,94,SF
6,815,910,3619,QF
7,4815,3175,280,QF
8,3542,201,3096,QF
