Alliances,1,2,3,Results
1,1334,4334,4633,W
2,4001,216,1691,F
3,288,1482,4719,QF
4,1305,1772,4497,SF
5,4733,4606,4625,QF
6,244,4205,1870,SF
7,4751,3354,4771,QF
8,4627,771,3278,QF
