Alliances,1,2,3,Results
1,955,2471,2046,W
2,3812,2130,3145,F
3,4127,997,2147,SF
4,4488,1318,4057,QF
5,360,1425,3711,SF
6,2635,1359,2811,QF
7,2733,1540,2557,QF
8,956,847,488,QF
