Alliances,1,2,3,Results
1,108,1902,4707,QF
2,125,4451,233,F
3,179,1065,21,SF
4,3932,2383,386,QF
5,3556,180,3410,SF
6,3164,342,3998,QF
7,1592,801,86,QF
8,744,79,1772,W
