Alliances,1,2,3,Results
1,1288,1706,1444,F
2,1658,3885,2978,SF
3,1329,4256,931,QF
4,3411,1985,4330,SF
5,3868,2783,1182,QF
6,3284,1208,2408,W
7,4646,1094,3862,QF
8,3686,4232,3792,QF
