Alliances,1,2,3,Results
1,1726,842,3944,W
2,1290,1165,4183,SF
3,60,3785,2839,F
4,2486,3158,1164,QF
5,1492,4146,2840,SF
6,2449,2403,3019,QF
7,4126,2647,1011,QF
8,2543,498,1828,QF
