Alliances,1,2,3,Results
1,2443,3309,3408,SF
2,1717,973,1836,W
3,4210,4501,597,QF
4,2439,294,4123,QF
5,599,3512,981,F
6,696,330,3851,SF
7,687,4079,1515,QF
8,207,3880,702,QF
