Alliances,1,2,3,Results
1,3056,876,3723,SF
2,3130,2175,1675,QF
3,2169,525,3061,W
4,2826,269,1259,F
5,2512,2861,4762,QF
6,2518,4623,3055,QF
7,4624,2502,4656,SF
8,3184,3293,27,QF
