Alliances,1,2,3,Results
1,180,1902,1251,W
2,86,179,4592,SF
3,386,744,832,F
4,1523,3932,415,SF
5,108,1065,141,QF
6,2383,1683,4707,QF
7,2797,4224,3992,QF
8,3502,4471,4013,QF
