Alliances,1,2,3,Results
1,2056,1114,4814,W
2,1334,1310,4716,F
3,2013,1241,1325,SF
4,4039,3117,1547,QF
5,1305,1503,2994,SF
6,3756,907,772,QF
7,3683,4069,3571,QF
8,3161,190,4343,QF
