Alliances,1,2,3,Results
1,2130,4061,3681,SF
2,1983,2471,4125,W
3,3131,2374,3243,QF
4,2990,3663,2944,QF
5,3145,1899,2733,F
6,1595,2122,3789,SF
7,2907,4030,2522,QF
8,3693,3968,2147,QF
