Alliances,1,2,3,Results
1,1918,2474,4835,W
2,4391,2771,244,QF
3,3602,3618,4392,F
4,217,857,201,SF
5,2000,835,4003,QF
6,3688,216,3617,QF
7,2619,3770,4004,SF
8,1596,1711,3234,QF
