Alliances,1,2,3,Results
1,33,1718,247,W
2,2619,245,3302,F
3,1684,573,3098,SF
4,2145,2612,3620,SF
5,703,51,4810,QF
6,4405,1504,4382,QF
7,3322,1025,548,QF
8,3535,3570,3667,QF
