Alliances,1,2,3,Results
1,1477,1421,3612,W
2,1939,16,2410,SF
3,3528,3284,1764,QF
4,3160,1730,4553,QF
5,3593,456,2080,SF
6,3847,3507,2461,F
7,1912,3937,4487,QF
8,1927,1810,3784,QF
