Alliances,1,2,3,Results
1,125,126,1511,W
2,1100,3958,2349,SF
3,846,3173,88,F
4,69,2013,1965,QF
5,3780,229,1153,SF
6,3466,2423,1761,QF
7,1350,246,97,QF
8,4761,2876,3236,QF
