Alliances,1,2,3,Results
1,2056,1114,4069,W
2,610,1310,3756,F
3,4039,772,3494,QF
4,1241,1334,3949,SF
5,3683,3161,4678,QF
6,2702,2852,4618,SF
7,4519,781,1305,QF
8,3571,2200,4152,QF
