Alliances,1,2,3,Results
1,2054,3656,3547,W
2,2959,3618,3452,F
3,2000,3641,4377,SF
4,858,3658,3546,QF
5,107,2767,141,SF
6,3875,2611,4408,QF
7,1254,85,74,QF
8,4381,2145,2075,QF
