Alliances,1,2,3,Results
1,862,2054,904,W
2,3234,1918,4003,F
3,4325,858,4453,QF
4,4381,68,3546,SF
5,94,3572,3357,QF
6,326,70,141,SF
7,1243,494,4004,QF
8,107,74,85,QF
