Alliances,1,2,3,Results
1,1662,1678,3256,QF
2,971,3495,604,SF
3,2144,3250,114,QF
4,1458,3598,852,SF
5,766,1671,2367,QF
6,2489,3189,701,W
7,2141,2102,3859,QF
8,399,1868,1388,F
