Alliances,1,2,3,Results
1,1718,33,4779,W
2,2851,3539,1,SF
3,67,494,308,QF
4,1025,4130,503,QF
5,2960,2612,548,SF
6,51,3414,3604,F
7,4384,573,1701,QF
8,2834,835,2137,QF
