Alliances,1,2,3,Results
1,610,4124,3609,W
2,138,131,58,QF
3,230,1991,1153,SF
4,885,1519,133,SF
5,151,229,1277,QF
6,1512,1922,1517,QF
7,61,175,172,F
8,2791,3467,78,QF
