Alliances,1,2,3,Results
1,3314,1676,714,W
2,2016,56,224,QF
3,2607,193,4361,F
4,11,869,2554,SF
5,303,1279,3340,QF
6,1626,1228,1811,QF
7,4285,223,1370,SF
8,1391,4460,75,QF
