Alliances,1,2,3,Results
1,3753,118,4589,W
2,155,1421,3039,F
3,3606,1927,3991,QF
4,3847,233,1912,SF
5,364,2992,3616,QF
6,1477,456,442,SF
7,3410,2352,1649,QF
8,2080,3937,3164,QF
