Alliances,1,2,3,Results
1,624,4452,4701,SF
2,1261,2415,1414,QF
3,281,1648,3581,SF
4,2974,1319,3600,QF
5,4509,1683,832,F
6,1746,343,1311,QF
7,4026,3489,4080,W
8,1002,1466,4749,QF
