Alliances,1,2,3,Results
1,353,28,2487,SF
2,527,369,1751,F
3,329,514,4458,QF
4,1796,358,3171,W
5,1468,3137,1546,QF
6,2638,2875,3624,SF
7,3950,271,871,QF
8,3460,533,870,QF
