Alliances,1,2,3,Results
1,1538,2485,968,W
2,3476,696,4140,F
3,2486,3512,1266,SF
4,4139,3880,2493,QF
5,1323,399,3647,SF
6,1622,4322,1828,QF
7,3925,207,2637,QF
8,1138,3255,1422,QF
