Alliances,1,2,3,Results
1,359,2090,2437,F
2,1622,1378,4253,SF
3,4158,2439,3008,W
4,2443,3132,4218,SF
5,3882,2504,2441,QF
6,2438,3878,2465,QF
7,4270,3881,2445,QF
8,3721,3880,2348,QF
