Alliances,1,2,3,Results
1,118,148,2789,W
2,1477,624,4355,QF
3,57,2587,3847,F
4,4587,2936,418,SF
5,3741,704,2438,QF
6,4328,1801,441,QF
7,231,192,1429,SF
8,3961,2582,3103,QF
