Alliances,1,2,3,Results
1,254,118,1967,W
2,1868,973,4159,F
3,971,192,604,QF
4,1662,148,3598,SF
5,233,100,846,QF
6,649,1388,114,SF
7,2144,670,840,QF
8,115,2489,766,QF
