Alliances,1,2,3,Results
1,222,11,3340,W
2,219,303,4653,SF
3,1676,3314,714,F
4,193,1228,1811,QF
5,75,1367,3929,SF
6,4285,555,102,QF
7,136,4361,2577,QF
8,1672,1881,4475,QF
