Alliances,1,2,3,Results
1,1986,1806,2457,W
2,1939,3928,1987,F
3,1775,1730,938,SF
4,3528,2996,1825,SF
5,1625,967,2451,QF
6,935,1763,1710,QF
7,2357,2345,3784,QF
8,2346,1982,1810,QF
