Alliances,1,2,3,Results
1,435,1519,4828,W
2,1249,1413,34,QF
3,1539,2059,2655,F
4,4824,2483,3971,SF
5,3701,3506,1533,QF
6,3319,2642,3196,QF
7,587,1225,1287,SF
8,3737,4481,3680,QF
