Alliances,1,2,3,Results
1,469,33,904,W
2,573,2959,815,F
3,910,1684,2337,SF
4,3547,217,3175,QF
5,66,1250,226,SF
6,470,4294,326,QF
7,1701,85,247,QF
8,308,503,1023,QF
