Alliances,1,2,3,Results
1,2056,1114,1325,W
2,4343,1241,216,F
3,1547,2809,4252,QF
4,3541,4001,865,QF
5,2013,2994,781,SF
6,4476,4718,3985,SF
7,3387,2852,3386,QF
8,1075,3543,244,QF
