Alliances,1,2,3,Results
1,3015,191,4505,SF
2,3173,250,378,SF
3,1405,3003,1559,W
4,48,1126,145,F
5,1450,340,1551,QF
6,1507,2809,578,QF
7,4203,772,3838,QF
8,1585,888,176,QF
