Alliances,1,2,3,Results
1,1318,948,2930,SF
2,360,2557,3789,F
3,2922,3219,2635,QF
4,1425,1983,753,W
5,2046,488,2517,QF
6,1595,3711,2923,SF
7,2928,2929,2811,QF
8,2605,4060,4089,QF
