Alliances,1,2,3,Results
1,148,3310,4610,W
2,2936,231,3522,SF
3,3802,704,4354,F
4,1296,3355,1860,SF
5,4641,1745,647,QF
6,3172,3676,3497,QF
7,4359,4300,4335,QF
8,4206,1817,3735,QF
