Alliances,1,2,3,Results
1,3990,3387,1075,W
2,3386,3985,3530,F
3,3396,3996,2702,QF
4,3117,1517,3983,SF
5,3977,3710,4526,QF
6,2626,3360,296,SF
7,4007,4492,3988,QF
8,3986,509,3379,QF
