Alliances,1,2,3,Results
1,3539,67,4810,F
2,469,245,4377,W
3,4130,217,519,SF
4,216,68,1188,SF
5,815,4294,3619,QF
6,453,2337,3655,QF
7,1,2960,4779,QF
8,4819,3302,2851,QF
