Alliances,1,2,3,Results
1,987,254,1138,W
2,399,1538,2339,SF
3,2984,2485,4322,F
4,589,3476,1726,SF
5,4583,4401,4486,QF
6,4014,2543,3255,QF
7,1159,2496,4139,QF
8,2827,599,3925,QF
