Alliances,1,2,3,Results
1,3692,4212,3734,SF
2,1732,111,2338,W
3,876,135,71,QF
4,2826,2481,269,F
5,4143,706,16,QF
6,1259,2062,2574,SF
7,2077,537,2202,QF
8,1781,167,930,QF
