Alliances,1,2,3,Results
1,1507,706,3260,F
2,639,2252,2834,W
3,1551,4085,1126,SF
4,2603,1629,3003,QF
5,2228,1248,1317,SF
6,781,2016,3496,QF
7,4269,1014,3266,QF
8,461,340,1747,QF
