Alliances,1,2,3,Results
1,3501,3970,2643,F
2,973,1323,4135,SF
3,1458,1671,2135,QF
4,1967,1422,2493,QF
5,670,701,4159,SF
6,1678,840,295,W
7,649,3495,841,QF
8,3669,3303,294,QF
