Alliances,1,2,3,Results
1,948,1983,492,W
2,4089,1899,3684,QF
3,4579,3663,2930,F
4,2907,2928,1294,SF
5,4681,1258,4542,QF
6,3238,2605,3219,QF
7,3826,2412,4512,SF
8,4772,4077,3221,QF
