Alliances,1,2,3,Results
1,3245,1717,4276,W
2,2403,987,597,F
3,2844,2034,4792,QF
4,3309,341,3366,SF
5,3187,1165,3288,QF
6,4146,2339,3019,SF
7,2984,4183,3009,QF
8,3965,330,25,QF
