Alliances,1,2,3,Results
1,701,2169,2259,W
2,1584,1977,1245,QF
3,2996,1410,662,F
4,2036,1011,1799,QF
5,1157,1332,1339,SF
6,3807,1619,4550,QF
7,3200,3013,4499,SF
8,4388,3403,2972,QF
