Alliances,1,2,3,Results
1,2791,20,3182,F
2,1100,558,2370,SF
3,177,126,1884,QF
4,2648,3205,3930,SF
5,121,228,1687,QF
6,2168,3280,3044,W
7,2877,155,1493,QF
8,663,2067,157,QF
